title,author,source_name,source_year,source_rank,source_category,isbn13
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,goodreads,2026,10,business,
"Thinking, Fast and Slow",Daniel Kahneman,goodreads,2026,11,business,
The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,goodreads,2026,12,business,
The Lean Startup,Eric Ries,goodreads,2026,13,business,
The E-myth Revisited,Michael E. Gerber,goodreads,2026,14,business,
The Richest Man in Babylon,George S. Clason,goodreads,2026,15,business,
Steve Jobs,Walter Isaacson,goodreads,2026,16,business,
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,goodreads,2026,17,business,
Move to Millions: The Proven Framework to Become a Million Dollar CEO with Grace & Ease Instead of Hustle & Grind,Darnyelle Jervey Harmon,goodreads,2026,18,business,
Rework,Jason Fried,goodreads,2026,19,business,
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,goodreads,2026,20,business,
Emotional Intelligence 2.0,Travis Bradberry,goodreads,2026,21,business,
Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,goodreads,2026,22,business,
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,goodreads,2026,23,business,
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,goodreads,2026,24,business,
The Intelligent Investor,Benjamin Graham,goodreads,2026,25,business,
Financial Feminist: Overcome the Patriarchy's Bullsh*t to Master Your Money and Build a Life You Love,Tori Dunlap,goodreads,2026,26,business,
"How Women Rise: Break the 12 Habits Holding You Back from Your Next Raise, Promotion, or Job",Sally Helgesen,goodreads,2026,27,business,
The Art of War,Sun Tzu,goodreads,2026,28,business,
Presence: Bringing Your Boldest Self to Your Biggest Challenges,Amy Cuddy,goodreads,2026,29,business,
My Money My Way: Taking Back Control of Your Financial Life,Kumiko Love,goodreads,2026,30,business,
CEO-Stories: Children Employed by Owners,Michael Eastwood,goodreads,2026,31,business,
Liar's Poker,Michael   Lewis,goodreads,2026,32,business,
Divergent Mind: Thriving in a World That Wasn't Designed for You,Jenara Nerenberg,goodreads,2026,33,business,
Strengths Finder 2.0,Tom Rath,goodreads,2026,34,business,
Purple Cow: Transform Your Business by Being Remarkable,Seth Godin,goodreads,2026,35,business,
New Startup Mindset: Ten Mindset Shifts to Build the Company of Your Dreams,Sandra Shpilberg,goodreads,2026,36,business,
She Thinks Like a Boss: Leadership—9 Essential Skills for New Female Leaders in Business and the Workplace,Jemma Roedel,goodreads,2026,37,business,
Built to Last: Successful Habits of Visionary Companies,Jim Collins,goodreads,2026,38,business,
"First, Break All the Rules: What the World's Greatest Managers Do Differently",Marcus Buckingham,goodreads,2026,39,business,
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,goodreads,2026,40,business,
The Five Dysfunctions of a Team,Patrick Lencioni,goodreads,2026,41,business,
The Big Short: Inside the Doomsday Machine,Michael   Lewis,goodreads,2026,42,business,
Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,goodreads,2026,43,business,
Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,goodreads,2026,44,business,
The Speed of Trust: The One Thing that Changes Everything,Stephen M.R. Covey,goodreads,2026,45,business,
Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,goodreads,2026,46,business,
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,goodreads,2026,47,business,
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,goodreads,2026,48,business,
"Brave, Not Perfect: Fear Less, Fail More, and Live Bolder",Reshma Saujani,goodreads,2026,49,business,
Tribes We Need You to Lead Us,Seth Godin,goodreads,2026,50,business,
